iter	Passed	Remaining
0	1	142
1	3	162
2	4	139
3	5	127
4	6	114
5	7	111
6	8	106
7	8	99
8	9	97
9	10	93
10	11	92
11	12	91
12	13	90
13	14	89
14	15	87
15	16	86
16	17	84
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	37	59
39	38	58
40	39	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
