iter	Passed	Remaining
0	1	164
1	3	159
2	4	145
3	6	145
4	7	136
5	8	138
6	10	135
7	11	128
8	12	126
9	13	125
10	15	125
11	17	124
12	18	124
13	19	122
14	21	119
15	22	117
16	23	115
17	24	112
18	25	110
19	27	108
20	28	106
21	29	103
22	30	101
23	31	99
24	32	97
25	33	95
26	34	93
27	35	91
28	36	89
29	37	87
30	38	85
31	39	83
32	40	81
33	41	80
34	42	78
35	43	76
36	44	75
37	45	73
38	46	72
39	47	70
40	48	69
41	49	67
42	50	66
43	50	64
44	51	63
45	52	62
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	68	40
63	69	39
64	70	38
65	71	37
66	73	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
